
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    10.94.84.176:57853     172.217.2.34:443       ESTABLISHED
  TCP    10.94.84.176:57854     142.250.190.142:443    ESTABLISHED
  TCP    10.94.84.176:57855     104.18.41.33:443       ESTABLISHED
  TCP    10.94.84.176:57857     172.64.155.249:443     ESTABLISHED
  TCP    10.94.84.176:57858     142.250.191.226:443    ESTABLISHED
  TCP    10.94.84.176:57859     172.64.152.233:443     TIME_WAIT
  TCP    10.94.84.176:57861     142.250.191.238:443    ESTABLISHED
  TCP    10.94.84.176:57862     172.217.5.1:443        ESTABLISHED
  TCP    10.94.84.176:57863     142.250.191.98:443     ESTABLISHED
  TCP    10.94.84.176:57864     142.250.191.225:443    ESTABLISHED
  TCP    10.94.84.176:57865     142.250.191.166:443    ESTABLISHED
  TCP    10.94.84.176:57867     172.217.2.34:443       ESTABLISHED
  TCP    10.94.84.176:57868     142.250.191.226:443    ESTABLISHED
  TCP    10.94.84.176:57870     23.206.214.114:443     ESTABLISHED
  TCP    10.94.84.176:57873     18.210.208.47:443      TIME_WAIT
  TCP    10.94.84.176:57874     142.250.191.98:443     ESTABLISHED
  TCP    10.94.84.176:57875     142.250.191.98:443     ESTABLISHED
  TCP    10.94.84.176:57876     142.250.191.98:443     ESTABLISHED
  TCP    10.94.84.176:57877     142.250.190.66:443     ESTABLISHED
  TCP    10.94.84.176:57878     142.250.191.100:443    ESTABLISHED
  TCP    10.94.84.176:57879     142.250.190.66:443     ESTABLISHED
  TCP    10.94.84.176:57880     142.250.190.66:443     ESTABLISHED
  TCP    10.94.84.176:57881     142.250.190.66:443     TIME_WAIT
  TCP    10.94.84.176:57882     142.250.190.66:443     ESTABLISHED
  TCP    10.94.84.176:57883     142.250.190.66:443     ESTABLISHED
  TCP    10.94.84.176:57884     142.250.191.98:443     ESTABLISHED
  TCP    10.94.84.176:57888     142.250.190.66:443     ESTABLISHED
  TCP    10.94.84.176:57889     142.250.190.66:443     ESTABLISHED
  TCP    10.94.84.176:57890     142.250.190.66:443     ESTABLISHED
  TCP    10.94.84.176:57891     142.250.190.66:443     ESTABLISHED
  TCP    10.94.84.176:57892     142.250.190.66:443     ESTABLISHED
  TCP    10.94.84.176:57893     142.250.190.66:443     ESTABLISHED
  TCP    10.94.84.176:57894     142.250.190.66:443     ESTABLISHED
  TCP    10.94.84.176:57895     142.250.190.66:443     ESTABLISHED
  TCP    10.94.84.176:57896     142.250.190.66:443     ESTABLISHED
  TCP    10.94.84.176:57905     10.161.39.57:9997      TIME_WAIT
  TCP    10.94.84.176:57908     23.65.3.46:443         ESTABLISHED
  TCP    10.94.84.176:57910     40.126.28.11:443       ESTABLISHED
  TCP    10.94.84.176:57916     13.107.246.35:443      CLOSE_WAIT
  TCP    10.94.84.176:57917     13.107.246.35:443      ESTABLISHED
  TCP    10.94.84.176:57918     40.126.29.10:443       ESTABLISHED
  TCP    10.94.84.176:57921     23.203.117.159:443     ESTABLISHED
  TCP    10.94.84.176:57922     23.203.53.73:443       ESTABLISHED
  TCP    10.94.84.176:57923     13.107.246.35:443      ESTABLISHED
  TCP    10.94.84.176:57929     13.107.246.35:443      ESTABLISHED
  TCP    10.94.84.176:57930     13.107.246.35:443      ESTABLISHED
  TCP    10.94.84.176:57931     23.203.117.159:443     ESTABLISHED
  TCP    10.94.84.176:57932     13.107.246.35:443      ESTABLISHED
  TCP    10.94.84.176:57934     13.107.246.35:443      ESTABLISHED
  TCP    10.94.84.176:57935     40.126.28.11:443       ESTABLISHED
  TCP    10.94.84.176:57936     40.126.29.10:443       ESTABLISHED
  TCP    10.94.84.176:57938     52.182.143.209:443     ESTABLISHED
  TCP    10.94.84.176:57942     13.107.246.35:443      CLOSE_WAIT
  TCP    10.94.84.176:57943     23.96.180.189:443      ESTABLISHED
  TCP    10.94.84.176:57948     13.107.246.35:443      ESTABLISHED
  TCP    10.94.84.176:57949     13.107.246.35:443      ESTABLISHED
  TCP    10.94.84.176:57952     23.12.12.235:443       ESTABLISHED
  TCP    10.94.84.176:57953     13.107.246.35:443      ESTABLISHED
  TCP    10.94.84.176:57965     40.126.29.10:443       ESTABLISHED
  TCP    10.94.84.176:57981     52.109.8.89:443        ESTABLISHED
  TCP    10.94.84.176:57991     10.162.39.50:9997      ESTABLISHED
  TCP    10.94.84.176:57994     13.69.116.109:443      ESTABLISHED
  TCP    10.94.84.176:58001     10.31.186.66:7680      SYN_SENT
  TCP    10.94.84.176:58890     52.111.239.20:443      ESTABLISHED
  TCP    10.94.84.176:58899     142.251.165.188:443    ESTABLISHED
  TCP    10.94.84.176:58930     54.67.54.116:443       ESTABLISHED
  TCP    10.94.84.176:59172     142.251.165.188:443    ESTABLISHED
  TCP    10.94.84.176:59545     20.127.250.238:443     ESTABLISHED
  TCP    10.94.84.176:61017     13.64.180.106:443      ESTABLISHED
  TCP    10.94.84.176:61737     52.96.157.146:443      ESTABLISHED
  TCP    10.94.84.176:61814     52.96.191.242:443      ESTABLISHED
  TCP    10.94.84.176:63359     10.2.117.243:49667     ESTABLISHED
  TCP    127.0.0.1:3030         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:3040         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:6107         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:6109         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:6120         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:6444         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:9080         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:9443         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:10001        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:10248        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:10249        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:10256        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:10257        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:10258        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:10259        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:12345        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:12350        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:18313        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:49672        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:49673        127.0.0.1:55552        ESTABLISHED
  TCP    127.0.0.1:52273        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:52287        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:52287        127.0.0.1:52288        ESTABLISHED
  TCP    127.0.0.1:52288        127.0.0.1:52287        ESTABLISHED
  TCP    127.0.0.1:55053        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:55296        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:55296        127.0.0.1:57750        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57757        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57758        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57762        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57763        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57767        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57771        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57772        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57773        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57779        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57780        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57781        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57782        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57783        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57785        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57788        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57792        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57797        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57804        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57813        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57814        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57816        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57817        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57818        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57819        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57820        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57821        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57822        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57823        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57828        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57829        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57836        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57838        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57844        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57846        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57847        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57860        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57869        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57872        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57887        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57897        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57898        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57899        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57903        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57904        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57907        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57909        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57912        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57919        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57920        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57937        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57944        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57950        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57951        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57954        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57955        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57956        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57966        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57967        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57968        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57969        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57970        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57971        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57973        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57976        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57978        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57984        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57986        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57990        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57998        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:57999        TIME_WAIT
  TCP    127.0.0.1:55296        127.0.0.1:58002        TIME_WAIT
  TCP    127.0.0.1:55552        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:55552        127.0.0.1:49673        ESTABLISHED
  TCP    127.0.0.1:55552        127.0.0.1:63591        ESTABLISHED
  TCP    127.0.0.1:56028        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:59243        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:63591        127.0.0.1:55552        ESTABLISHED
  TCP    127.0.0.1:63831        0.0.0.0:0              LISTENING
  TCP    172.23.112.1:139       0.0.0.0:0              LISTENING
  TCP    172.23.112.1:10001     0.0.0.0:0              LISTENING
  TCP    172.24.16.1:139        0.0.0.0:0              LISTENING
  TCP    172.24.16.1:10001      0.0.0.0:0              LISTENING
  TCP    172.24.16.1:56439      172.24.26.66:6443      ESTABLISHED
  TCP    172.24.16.1:59526      172.24.26.66:6443      ESTABLISHED
  TCP    172.24.16.1:59687      172.24.26.66:6443      ESTABLISHED
  TCP    192.168.1.2:139        0.0.0.0:0              LISTENING
  TCP    192.168.1.2:10001      0.0.0.0:0              LISTENING
  TCP    192.168.1.4:139        0.0.0.0:0              LISTENING
  TCP    192.168.1.4:10001      0.0.0.0:0              LISTENING
  TCP    192.168.1.4:54468      52.112.84.185:443      ESTABLISHED
  TCP    192.168.1.4:56177      52.123.187.95:443      ESTABLISHED
  TCP    192.168.1.4:57824      72.21.81.200:443       ESTABLISHED
  TCP    192.168.1.4:57825      72.21.81.200:443       ESTABLISHED
  TCP    192.168.1.4:57927      13.107.253.35:443      ESTABLISHED
  TCP    192.168.1.4:57928      13.107.253.35:443      ESTABLISHED
  TCP    192.168.1.4:57933      13.107.253.35:443      ESTABLISHED
  TCP    192.168.1.4:57939      152.195.19.97:443      ESTABLISHED
  TCP    192.168.1.4:57941      13.107.253.35:443      CLOSE_WAIT
  TCP    192.168.1.4:57958      152.195.19.97:443      ESTABLISHED
  TCP    192.168.1.4:58098      170.114.52.2:443       CLOSE_WAIT
  TCP    192.168.1.4:58238      170.114.52.83:443      CLOSE_WAIT
  TCP    192.168.1.4:59262      162.252.141.100:443    ESTABLISHED
  TCP    [::]:135               [::]:0                 LISTENING
  TCP    [::]:445               [::]:0                 LISTENING
  TCP    [::]:2179              [::]:0                 LISTENING
  TCP    [::]:2701              [::]:0                 LISTENING
  TCP    [::]:3389              [::]:0                 LISTENING
  TCP    [::]:5985              [::]:0                 LISTENING
  TCP    [::]:7680              [::]:0                 LISTENING
  TCP    [::]:8005              [::]:0                 LISTENING
  TCP    [::]:47001             [::]:0                 LISTENING
  TCP    [::]:49664             [::]:0                 LISTENING
  TCP    [::]:49665             [::]:0                 LISTENING
  TCP    [::]:49666             [::]:0                 LISTENING
  TCP    [::]:49667             [::]:0                 LISTENING
  TCP    [::]:49670             [::]:0                 LISTENING
  TCP    [::]:49671             [::]:0                 LISTENING
  TCP    [::]:49682             [::]:0                 LISTENING
  TCP    [::]:49699             [::]:0                 LISTENING
  TCP    [::]:53194             [::]:0                 LISTENING
  TCP    [::1]:6443             [::]:0                 LISTENING
  TCP    [::1]:10001            [::]:0                 LISTENING
  TCP    [::1]:10250            [::]:0                 LISTENING
  TCP    [::1]:37873            [::]:0                 LISTENING
  TCP    [::1]:42050            [::]:0                 LISTENING
  TCP    [::1]:56028            [::]:0                 LISTENING
  TCP    [fe80::6484:1667:ad25:c605%2]:10001  [::]:0                 LISTENING
  TCP    [fe80::b68f:a86e:e440:69e0%15]:10001  [::]:0                 LISTENING
  TCP    [fe80::c0d8:11e5:a989:e022%54]:10001  [::]:0                 LISTENING
  TCP    [fe80::c316:d5a2:e59:cb64%19]:10001  [::]:0                 LISTENING
  TCP    [fe80::d357:6102:3d8d:c8bb%67]:10001  [::]:0                 LISTENING
  UDP    0.0.0.0:53             *:*                    
  UDP    0.0.0.0:53             *:*                    
  UDP    0.0.0.0:123            *:*                    
  UDP    0.0.0.0:500            *:*                    
  UDP    0.0.0.0:3389           *:*                    
  UDP    0.0.0.0:4500           *:*                    
  UDP    0.0.0.0:5050           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:12345          *:*                    
  UDP    0.0.0.0:50245          *:*                    
  UDP    0.0.0.0:50867          *:*                    
  UDP    0.0.0.0:52224          127.0.0.1:52223        
  UDP    0.0.0.0:53151          *:*                    
  UDP    0.0.0.0:54525          127.0.0.1:54524        
  UDP    0.0.0.0:55375          *:*                    
  UDP    0.0.0.0:57918          *:*                    
  UDP    0.0.0.0:58599          127.0.0.1:58598        
  UDP    0.0.0.0:58601          127.0.0.1:58600        
  UDP    0.0.0.0:58603          127.0.0.1:58602        
  UDP    0.0.0.0:58605          127.0.0.1:58604        
  UDP    0.0.0.0:59973          127.0.0.1:59972        
  UDP    0.0.0.0:60957          127.0.0.1:60956        
  UDP    0.0.0.0:60959          127.0.0.1:60958        
  UDP    0.0.0.0:61159          127.0.0.1:61158        
  UDP    0.0.0.0:61394          127.0.0.1:61393        
  UDP    0.0.0.0:61867          *:*                    
  UDP    0.0.0.0:62140          *:*                    
  UDP    0.0.0.0:62285          *:*                    
  UDP    0.0.0.0:62815          127.0.0.1:62814        
  UDP    0.0.0.0:62817          127.0.0.1:62816        
  UDP    0.0.0.0:62819          127.0.0.1:62818        
  UDP    0.0.0.0:63481          127.0.0.1:63480        
  UDP    0.0.0.0:63483          127.0.0.1:63482        
  UDP    0.0.0.0:63525          *:*                    
  UDP    0.0.0.0:63539          *:*                    
  UDP    0.0.0.0:63540          *:*                    
  UDP    0.0.0.0:64083          127.0.0.1:64082        
  UDP    10.94.84.176:137       *:*                    
  UDP    10.94.84.176:138       *:*                    
  UDP    10.94.84.176:1900      *:*                    
  UDP    10.94.84.176:2177      *:*                    
  UDP    10.94.84.176:50952     *:*                    
  UDP    127.0.0.1:1900         *:*                    
  UDP    127.0.0.1:8888         *:*                    
  UDP    127.0.0.1:49664        127.0.0.1:49664        
  UDP    127.0.0.1:49694        127.0.0.1:49694        
  UDP    127.0.0.1:50955        *:*                    
  UDP    127.0.0.1:50984        127.0.0.1:50984        
  UDP    127.0.0.1:52223        *:*                    
  UDP    127.0.0.1:52241        127.0.0.1:52241        
  UDP    127.0.0.1:54524        *:*                    
  UDP    127.0.0.1:56046        127.0.0.1:56046        
  UDP    127.0.0.1:57468        127.0.0.1:57468        
  UDP    127.0.0.1:58598        *:*                    
  UDP    127.0.0.1:58600        *:*                    
  UDP    127.0.0.1:58602        *:*                    
  UDP    127.0.0.1:58604        *:*                    
  UDP    127.0.0.1:59972        *:*                    
  UDP    127.0.0.1:60956        *:*                    
  UDP    127.0.0.1:60958        *:*                    
  UDP    127.0.0.1:61158        *:*                    
  UDP    127.0.0.1:61393        *:*                    
  UDP    127.0.0.1:62814        *:*                    
  UDP    127.0.0.1:62816        *:*                    
  UDP    127.0.0.1:62818        *:*                    
  UDP    127.0.0.1:63480        *:*                    
  UDP    127.0.0.1:63482        *:*                    
  UDP    127.0.0.1:64082        *:*                    
  UDP    172.23.112.1:67        *:*                    
  UDP    172.23.112.1:68        *:*                    
  UDP    172.23.112.1:137       *:*                    
  UDP    172.23.112.1:138       *:*                    
  UDP    172.23.112.1:1900      *:*                    
  UDP    172.23.112.1:2177      *:*                    
  UDP    172.23.112.1:50956     *:*                    
  UDP    172.24.16.1:137        *:*                    
  UDP    172.24.16.1:138        *:*                    
  UDP    172.24.16.1:1900       *:*                    
  UDP    172.24.16.1:2177       *:*                    
  UDP    172.24.16.1:50957      *:*                    
  UDP    192.168.1.2:137        *:*                    
  UDP    192.168.1.2:138        *:*                    
  UDP    192.168.1.2:1900       *:*                    
  UDP    192.168.1.2:2177       *:*                    
  UDP    192.168.1.2:50953      *:*                    
  UDP    192.168.1.4:137        *:*                    
  UDP    192.168.1.4:138        *:*                    
  UDP    192.168.1.4:1900       *:*                    
  UDP    192.168.1.4:2177       *:*                    
  UDP    192.168.1.4:50954      *:*                    
  UDP    192.168.1.4:57208      *:*                    
  UDP    [::]:123               *:*                    
  UDP    [::]:500               *:*                    
  UDP    [::]:3389              *:*                    
  UDP    [::]:4500              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:50245             *:*                    
  UDP    [::]:50868             *:*                    
  UDP    [::]:53151             *:*                    
  UDP    [::]:55375             *:*                    
  UDP    [::]:57918             *:*                    
  UDP    [::]:61867             *:*                    
